County,,1989-01-01,1990-01-01,1991-01-01,1992-01-01,1993-01-01,1994-01-01,1995-01-01,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01
Alameda,,34732,#N/A,#N/A,#N/A,40324,#N/A,44653,#N/A,46795,48445,51298,55551,54925,55595,56225,57659,60937,64285,68263,70217,68258,66937,67295,70209,72128,76996,81462,89472,95550,101744,107589
Alpine,,25097,#N/A,#N/A,#N/A,26259,#N/A,28492,#N/A,31080,31444,35654,39640,38401,37691,38825,42827,45283,47515,46136,49320,45391,44241,46706,46336,49392,53003,50882,57481,55755,55384,58112
Amador,,27592,#N/A,#N/A,#N/A,32588,#N/A,35647,#N/A,37829,39610,40177,42701,41805,43628,44494,47459,52078,50528,54903,53951,54461,49516,51553,51388,52357,54610,55879,59789,60588,58515,62640
Butte,,22122,#N/A,#N/A,#N/A,24828,#N/A,28229,#N/A,29367,30464,30536,31963,31342,32124,33528,34891,36303,40023,39466,40308,41196,41168,39208,40748,42395,42302,45369,45097,48634,50945,58394
Calaveras,,27056,#N/A,#N/A,#N/A,30191,#N/A,32696,#N/A,34672,37366,38971,41460,40890,42563,43462,46052,47639,52745,51447,52850,51564,50745,50599,50962,52598,53321,52471,57990,58536,62984,68248
Colusa,,23690,#N/A,#N/A,#N/A,26699,#N/A,28030,#N/A,30464,31049,33409,35623,34722,34556,36579,38350,39186,40240,43882,44622,47472,44981,47469,49871,48897,48006,51118,54861,53595,57249,59048
Contra Costa,,41955,#N/A,#N/A,#N/A,47609,#N/A,53055,#N/A,54275,57611,60368,64040,64433,65186,64365,65459,69463,74058,76317,78469,75084,73678,74241,74208,78909,80338,83036,90920,95062,101463,106555
Del Norte,,21898,#N/A,#N/A,#N/A,25071,#N/A,28103,#N/A,29044,30420,29206,30166,28841,29028,29990,31502,32724,33765,35910,36729,38252,35438,35598,37305,38663,41419,38963,39458,39996,48518,48979
El Dorado,,32954,#N/A,#N/A,#N/A,38180,#N/A,42658,#N/A,44954,47411,49214,52155,51861,53182,54131,56629,62199,67605,64256,67019,68778,65201,61970,68446,63002,70235,75575,75100,78464,81869,86202
Fresno,,25075,#N/A,#N/A,#N/A,27613,#N/A,30984,#N/A,31587,32023,32576,34930,34020,34579,36003,36930,41390,42433,46547,43534,45219,44869,42572,41563,43741,43338,46608,48323,51452,52318,56926
