,address
59,"1688, 24th Street, Oakland, Alameda County, California, 94608, United States"
60,"4070, Halleck Street, Emeryville, Alameda County, California, 94608, United States"
61,"1688, 24th Street, Oakland, Alameda County, California, 94608, United States"
64,"1737, 10th Street, Lower Bottoms, Oakland, Alameda County, California, 94607, United States"
198,"400, Lancaster Street, Fruitvale, Oakland, Alameda County, California, 94601, United States"
199,"F & C Auto Repair, International Boulevard, Fruitvale, Oakland, Alameda County, California, 94601, United States"
200,"F & C Auto Repair, International Boulevard, Fruitvale, Oakland, Alameda County, California, 94601, United States"
252,"International Boulevard Busway, Melrose, Oakland, Alameda County, California, 94601, United States"
300,"1615, 78th Avenue, Oakland, Alameda County, California, 94621, United States"
326,"400;460, 105th Avenue, Brookfield Village, Oakland, Alameda County, California, 94621, United States"
338,"1153, 87th Avenue, Elmhurst, Oakland, Alameda County, California, 94621, United States"
375,"9729, Hillgrade Court, Oakland, Alameda County, California, 2952, United States"
378,"10619, Beverly Avenue, Oakland, Alameda County, California, 2952, United States"
986,"Alameda County, California, United States"
1031,"18270, Sutter Creek Volcano Road, Amador County, California, 95685, United States"
1033,"Amador County, California, United States"
1035,"Dagon, Amador County, California, 95640, United States"
1067,"1656, South Park Drive, Chico, Butte County, California, 95928, United States"
1088,"Nord, Butte County, California, United States"
1095,"Skyway Road, Butte Meadows, Butte County, California, United States"
1107,"Jones Lane, Paradise, Butte County, California, 95969, United States"
1139,"Frey Ranch Road, Butte County, California, United States"
1147,"Belden Court, Butte County, California, 95966, United States"
1148,"6033, Old Olive Highway, Butte County, California, 95966, United States"
1149,"15, Pioneer Trail, Butte County, California, 95966, United States"
1151,"298, Colina Way, Butte County, California, 95966, United States"
1152,"56, Highlands Boulevard, Oroville, Butte County, California, 95966, United States"
1153,"56, Highlands Boulevard, Oroville, Butte County, California, 95966, United States"
1154,"2098, Eucalyptus Avenue, Oroville, Butte County, California, 95966, United States"
1156,"2250, Park Avenue, Oroville, Butte County, California, 95966, United States"
1162,"676, Plumas Avenue, Oroville, Butte County, California, 95965, United States"
1164,"98, Cabana Drive, Butte County, California, 95965, United States"
1170,"199, Magnolia Parkway, Butte County, California, 95966, United States"
1172,"2393, Las Plumas Avenue, Butte County, California, 95966, United States"
1173,"Vista del Cerro, Butte County, California, 95965, United States"
1174,"5008, Lincoln Boulevard, South Oroville, Butte County, California, 95966, United States"
1175,"Mount Ida Road, Butte County, California, 95966, United States"
1176,"7, Baton Rouge Drive, Butte County, California, 95966, United States"
1177,"Oroville Garden Ranch Road, Oroville, Butte County, California, 95966, United States"
1178,"3509, Oroville Bangor Highway, Butte County, California, 95966, United States"
1180,"Citrus Avenue, Palermo, Butte County, California, 95965-9643, United States"
1181,"7046, Perkins Avenue, Palermo, Butte County, California, 95968, United States"
1184,"Butte County, California, United States"
1185,"189, Brown Boulevard, Honcut, Butte County, California, 95966, United States"
1190,"Campbell Avenue, Butte County, California, United States"
1191,"159, Haskell Street, Gridley, Butte County, California, 95948, United States"
1194,"1279, Cedar Street, Gridley, Butte County, California, 95948, United States"
1198,"385, J Street, Butte County, California, 95917, United States"
1199,"2915, 6th Street, Biggs, Butte County, California, 95917, United States"
1201,"Butte County, California, United States"
1233,"Forest Route 6N45, Calaveras County, California, United States"
1234,"Colusa County, California, United States"
1235,"College City Road, Colusa County, California, United States"
1236,"Colusa County, California, United States"
1237,"Colusa County, California, United States"
1238,"Lurline Avenue, Colusa County, California, 95932, United States"
1242,"Colusa County, California, United States"
1243,"Colusa County, California, United States"
1244,"Maxwell, Colusa County, California, 95955, United States"
1247,"Saint Stephens Episcopal Church, 5th Street, Colusa, Colusa County, California, 95932, United States"
