,counties
0,Alameda
1,Alameda
2,Alameda
3,Alameda
4,Alameda
5,Alameda
6,Alameda
7,Alameda
8,Alameda
9,Alameda
10,Alameda
11,Alameda
12,Alameda
13,Alameda
14,Amador
15,Amador
16,Amador
17,Butte
18,Butte
19,Butte
20,Butte
21,Butte
22,Butte
23,Butte
24,Butte
25,Butte
26,Butte
27,Butte
28,Butte
29,Butte
30,Butte
31,Butte
32,Butte
33,Butte
34,Butte
35,Butte
36,Butte
37,Butte
38,Butte
39,Butte
40,Butte
41,Butte
42,Butte
43,Butte
44,Butte
45,Butte
46,Butte
47,Butte
48,Butte
49,Butte
50,Calaveras
51,Colusa
52,Colusa
53,Colusa
54,Colusa
55,Colusa
56,Colusa
57,Colusa
58,Colusa
59,Colusa
60,Contra
61,Contra
62,Contra
63,Contra
64,Contra
65,Contra
66,Contra
67,Contra
68,Contra
69,Contra
70,Contra
71,Contra
72,Contra
73,Contra
74,Contra
75,Contra
76,Contra
77,Contra
78,Contra
79,Contra
80,Contra
81,Contra
82,Contra
83,Contra
84,Contra
85,Contra
86,Contra
87,Contra
88,Contra
89,Del
90,Del
91,Del
92,El
93,El
94,El
95,El
96,El
97,El
98,El
99,El
100,Fresno
101,Fresno
102,Fresno
103,Fresno
104,Fresno
105,Fresno
106,Fresno
107,Fresno
108,Fresno
109,Fresno
110,Fresno
111,Fresno
112,Fresno
113,Fresno
114,Fresno
115,Fresno
116,Fresno
117,Fresno
118,Fresno
119,Fresno
120,Fresno
121,Fresno
122,Fresno
123,Fresno
124,Fresno
125,Fresno
126,Fresno
127,Fresno
128,Fresno
129,Fresno
130,Fresno
131,Fresno
132,Fresno
133,Fresno
134,Fresno
135,Fresno
136,Fresno
137,Fresno
138,Fresno
139,Fresno
140,Fresno
141,Fresno
142,Fresno
143,Fresno
144,Fresno
145,Fresno
146,Fresno
147,Fresno
148,Fresno
149,Fresno
150,Fresno
151,Fresno
152,Fresno
153,Fresno
154,Fresno
155,Fresno
156,Fresno
157,Fresno
158,Fresno
159,Fresno
160,Fresno
161,Fresno
162,Fresno
163,Fresno
164,Fresno
165,Fresno
166,Fresno
167,Fresno
168,Fresno
169,Fresno
170,Fresno
171,Fresno
172,Fresno
173,Fresno
174,Fresno
175,Fresno
176,Fresno
177,Fresno
178,Fresno
179,Fresno
180,Fresno
181,Fresno
182,Fresno
183,Fresno
184,Fresno
185,Fresno
186,Fresno
187,Fresno
188,Fresno
189,Fresno
190,Fresno
191,Fresno
192,Fresno
193,Fresno
194,Fresno
195,Fresno
196,Fresno
197,Fresno
198,Fresno
199,Fresno
200,Fresno
201,Fresno
202,Fresno
203,Fresno
204,Fresno
205,Fresno
206,Fresno
207,Fresno
208,Fresno
